field,table_or_file,type,required,description
event_id,pilot-sensor-events,string,yes,Unique id generated by the device for duplicate prevention
device_code,pilot-sensor-events,string,yes,Registered MonoMates device code
recorded_at,pilot-sensor-events,timestamp,yes,Device event time in ISO-8601 format
ir_detected,pilot-sensor-events,boolean,yes,Whether the IR beam was interrupted
weight_change_grams,pilot-sensor-events,decimal,yes,Measured increase in bin input weight
item_type,pilot-sensor-events,string,no,Classifier or operator label such as CLEAR_PET_BOTTLE
classifier_confidence,pilot-sensor-events,decimal,no,Probability-like score from 0 to 1
model_version,pilot-sensor-events,string,no,Classifier version used for the decision
image_object_key,pilot-sensor-events,string,no,Object-storage key; do not store image bytes in PostgreSQL
review_label,pilot-sensor-events,string,no,Human validation label for later model evaluation
